path,suffix,classification
=END,<none>,REVIEW_EXTENSIONLESS
.sh,<none>,REVIEW_EXTENSIONLESS
research/products/immaculate/.gitkeep,<none>,KEEP_MARKER
research/products/prizm/.gitkeep,<none>,KEEP_MARKER
research/products/national_treasures/.gitkeep,<none>,KEEP_MARKER
research/products/flawless/.gitkeep,<none>,KEEP_MARKER
research/products/origins/.gitkeep,<none>,KEEP_MARKER
research/analysis/confidence/.gitkeep,<none>,KEEP_MARKER
research/analysis/d_def/.gitkeep,<none>,KEEP_MARKER
research/analysis/q_def/.gitkeep,<none>,KEEP_MARKER
research/analysis/nuclear_cloud/.gitkeep,<none>,KEEP_MARKER
research/whitepapers/.gitkeep,<none>,KEEP_MARKER
research/players/prospects/.gitkeep,<none>,KEEP_MARKER
research/players/nba/.gitkeep,<none>,KEEP_MARKER
research/players/nfl/.gitkeep,<none>,KEEP_MARKER
research/players/nhl/.gitkeep,<none>,KEEP_MARKER
research/players/mlb/.gitkeep,<none>,KEEP_MARKER
research/methodology/.gitkeep,<none>,KEEP_MARKER
research/theses/.gitkeep,<none>,KEEP_MARKER
research/watchlists/.gitkeep,<none>,KEEP_MARKER
research/population/cgc/.gitkeep,<none>,KEEP_MARKER
research/population/bgs/.gitkeep,<none>,KEEP_MARKER
research/population/sgc/.gitkeep,<none>,KEEP_MARKER
research/population/psa/.gitkeep,<none>,KEEP_MARKER
research/sets/.gitkeep,<none>,KEEP_MARKER
research/teams/.gitkeep,<none>,KEEP_MARKER
research/market/opportunities/.gitkeep,<none>,KEEP_MARKER
research/market/scarcity/.gitkeep,<none>,KEEP_MARKER
research/market/volatility/.gitkeep,<none>,KEEP_MARKER
research/market/trends/.gitkeep,<none>,KEEP_MARKER
research/market/liquidity/.gitkeep,<none>,KEEP_MARKER
research/reports/annual/.gitkeep,<none>,KEEP_MARKER
research/reports/monthly/.gitkeep,<none>,KEEP_MARKER
research/reports/quarterly/.gitkeep,<none>,KEEP_MARKER
research/reports/weekly/.gitkeep,<none>,KEEP_MARKER
database/migrations/.gitkeep,<none>,KEEP_MARKER
database/seed/.gitkeep,<none>,KEEP_MARKER
database/schema/.gitkeep,<none>,KEEP_MARKER
database/backups/.gitkeep,<none>,KEEP_MARKER
asset_core/snapshots/.gitkeep,<none>,KEEP_MARKER
asset_core/checkpoints/.gitkeep,<none>,KEEP_MARKER
market_data/sold/.gitkeep,<none>,KEEP_MARKER
market_data/snapshots/.gitkeep,<none>,KEEP_MARKER
market_data/population/.gitkeep,<none>,KEEP_MARKER
market_data/exports/.gitkeep,<none>,KEEP_MARKER
market_data/alerts/.gitkeep,<none>,KEEP_MARKER
market_data/historical/.gitkeep,<none>,KEEP_MARKER
market_data/active/.gitkeep,<none>,KEEP_MARKER
market_data/indexes/.gitkeep,<none>,KEEP_MARKER
training/.gitkeep,<none>,KEEP_MARKER
datasets/test/.gitkeep,<none>,KEEP_MARKER
datasets/images/.gitkeep,<none>,KEEP_MARKER
datasets/training/.gitkeep,<none>,KEEP_MARKER
datasets/ocr/.gitkeep,<none>,KEEP_MARKER
datasets/labels/.gitkeep,<none>,KEEP_MARKER
datasets/validation/.gitkeep,<none>,KEEP_MARKER
runtime/journal/.gitkeep,<none>,KEEP_MARKER
runtime/pipeline/.gitkeep,<none>,KEEP_MARKER
runtime/dead_letter/.gitkeep,<none>,KEEP_MARKER
runtime/snapshots/.gitkeep,<none>,KEEP_MARKER
runtime/engine_state/.gitkeep,<none>,KEEP_MARKER
runtime/recovery/.gitkeep,<none>,KEEP_MARKER
runtime/dispatcher/.gitkeep,<none>,KEEP_MARKER
runtime/checkpoints/.gitkeep,<none>,KEEP_MARKER
runtime/scheduler/.gitkeep,<none>,KEEP_MARKER
runtime/state/.gitkeep,<none>,KEEP_MARKER
runtime/projections/.gitkeep,<none>,KEEP_MARKER
runtime/results/.gitkeep,<none>,KEEP_MARKER
runtime/transactions/.gitkeep,<none>,KEEP_MARKER
runtime/audit/.gitkeep,<none>,KEEP_MARKER
runtime/executions/.gitkeep,<none>,KEEP_MARKER
runtime/queues/.gitkeep,<none>,KEEP_MARKER
runtime/event_store/.gitkeep,<none>,KEEP_MARKER
runtime/telemetry/.gitkeep,<none>,KEEP_MARKER
runtime/events/.gitkeep,<none>,KEEP_MARKER
uploads/.gitkeep,<none>,KEEP_MARKER
uploads/failed/.gitkeep,<none>,KEEP_MARKER
uploads/incoming/.gitkeep,<none>,KEEP_MARKER
uploads/processed/.gitkeep,<none>,KEEP_MARKER
storage/temp/.gitkeep,<none>,KEEP_MARKER
storage/cache/.gitkeep,<none>,KEEP_MARKER
storage/images/.gitkeep,<none>,KEEP_MARKER
storage/ocr/.gitkeep,<none>,KEEP_MARKER
storage/processed/.gitkeep,<none>,KEEP_MARKER
storage/backups/.gitkeep,<none>,KEEP_MARKER
storage/thumbnails/.gitkeep,<none>,KEEP_MARKER
exports/.gitkeep,<none>,KEEP_MARKER
sample_data/images/.gitkeep,<none>,KEEP_MARKER
logs/.gitkeep,<none>,KEEP_MARKER
logs/scheduler/.gitkeep,<none>,KEEP_MARKER
logs/api/.gitkeep,<none>,KEEP_MARKER
logs/errors/.gitkeep,<none>,KEEP_MARKER
logs/jobs/.gitkeep,<none>,KEEP_MARKER
logs/engine/.gitkeep,<none>,KEEP_MARKER
ai/embeddings/.gitkeep,<none>,KEEP_MARKER
ai/memory/.gitkeep,<none>,KEEP_MARKER
ai/agents/.gitkeep,<none>,KEEP_MARKER
ai/models/.gitkeep,<none>,KEEP_MARKER
ai/vision/.gitkeep,<none>,KEEP_MARKER
ai/rag/.gitkeep,<none>,KEEP_MARKER
ai/prompts/.gitkeep,<none>,KEEP_MARKER
workflow/checkpoints/.gitkeep,<none>,KEEP_MARKER
api/.gitkeep,<none>,KEEP_MARKER
templates/.gitkeep,<none>,KEEP_MARKER
jobs/.gitkeep,<none>,KEEP_MARKER
engine/intelligence/.gitkeep,<none>,KEEP_MARKER
engine/hawk_a_eye/.gitkeep,<none>,KEEP_MARKER
engine/prediction/.gitkeep,<none>,KEEP_MARKER
engine/portfolio/.gitkeep,<none>,KEEP_MARKER
engine/automation/.gitkeep,<none>,KEEP_MARKER
engine/thorx/.gitkeep,<none>,KEEP_MARKER
engine/valuation/.gitkeep,<none>,KEEP_MARKER
vault/images/.gitkeep,<none>,KEEP_MARKER
vault/originals/.gitkeep,<none>,KEEP_MARKER
vault/ocr/.gitkeep,<none>,KEEP_MARKER
vault/exports/.gitkeep,<none>,KEEP_MARKER
vault/processed/.gitkeep,<none>,KEEP_MARKER
vault/thumbnails/.gitkeep,<none>,KEEP_MARKER
reports/.gitkeep,<none>,KEEP_MARKER
reports/repository_hygiene/backup_files.csv,.csv,KEEP_GENERATED_REPORT
